,Id,Site_Id,POINT_X,POINT_Y,geometry,zone,easting,northing
0,1,EC1,151.153499069,-33.6758451642,POINT (151.15349906853987 -33.67584516423068),56,328822,6272253
1,2,EC2,151.156799857,-33.6711281207,POINT (151.15679985684704 -33.6711281207327),56,329119,6272782
2,3,EC3,151.139325511,-33.6721389978,POINT (151.1393255109123 -33.672138997764726),56,327501,6272640
3,4,EC4,151.150757386,-33.6593152547,POINT (151.150757386103 -33.65931525465282),56,328535,6274082
4,5,EC5,151.131734854,-33.6772487566,POINT (151.13173485385494 -33.67724875664087),56,326807,6272061
5,6,EC6,151.197741102,-33.6584510147,POINT (151.19774110215678 -33.65845101469481),56,332890,6274254
6,7,EC7,151.188604606,-33.6560975691,POINT (151.18860460641727 -33.6560975691293),56,332039,6274501
7,8,EC8,151.272147786,-33.6050004616,POINT (151.27214778644645 -33.605000461553175),56,339691,6280299
8,9,EC9,151.269303435,-33.6060450372,POINT (151.2693034353274 -33.60604503715024),56,339429,6280179
9,10,EC10,151.283372632,-33.5862947237,POINT (151.2833726320964 -33.58629472370269),56,340699,6282391
10,12,EC11,151.040238942,-34.1689790684,POINT (151.04023894186878 -34.168979068431824),56,319365,6217370
11,13,EC12,151.040177918,-34.1704843309,POINT (151.04017791771358 -34.170484330926314),56,319363,6217203
12,14,EC13,150.99137277,-34.1261297808,POINT (150.9913727703606 -34.12612978083168),56,314767,6222035
13,15,EC14,150.967329129,-34.1505860753,POINT (150.9673291285571 -34.15058607531084),56,312604,6219279
14,16,EC15,150.951087992,-34.1184535433,POINT (150.95108799161227 -34.11845354326643),56,311034,6222812
15,17,EC16,151.064397059,-34.0884533688,POINT (151.06439705918584 -34.08845336879106),56,321423,6226343
16,18,P11,149.418414509,-30.9373846861,POINT (149.4184145085052 -30.937384686129914),55,731059,6574828
17,19,P12,149.437297911,-30.9152271452,POINT (149.43729791104747 -30.915227145243627),55,732917,6577245
18,20,P13,149.439810622,-30.8916228921,POINT (149.43981062186964 -30.891622892065794),55,733215,6579857
19,21,P14,149.478909478,-30.8550964987,POINT (149.4789094776756 -30.855096498664686),55,737043,6583824
20,22,P15,149.408565879,-31.0416370127,POINT (149.40856587873253 -31.04163701268826),55,729867,6563289
21,23,P16,149.414967848,-31.0398932855,POINT (149.4149678484093 -31.039893285538945),55,730482,6563469
