,id,site,plot,observer,region,geometry,veg_type,fire_hist,loc_accuracy,litter_d_m,litter_cov,litter_load,s_fhr,ns_h_m,ns_cov,ns_fhr,ns_fhr,ns_load,s&ns_fhr,elev_h_m,elev_cov,elev_fhr,elev_fhr,elev_load,bark_type,bark_haz,bark_load,canopy_h_m,canopy_cov_m,representative,afo_cc,afo_lfd,afo_ch,afo_cbh,afo_litter,afo_surface,afo_elevated,afo_bark,rfs_bark,rfs_canopy,rfs_elevated,rfs_surface
16,ccfa3f44-ca62-46fd-bc88-e41f28247cd3,EC10,1,Laurence McCoy,central,POINT (151.28407143582518 -33.58384768505771),DSF,2,4.65863530382,19.0,100,5.0,Moderate,0.39,90,Moderate,Moderate,2.5,Moderate,1.8,100,,,10,Slab,Low,0,6.8,30.0,yes,50.941280364990234,10.934896469116211,5.625100612640381,2.781174659729004,17.71669,17.71669,1.8555028,3.1234324,1.3555353,9.6,0.36465478,6.020303
25,4d19111d-9db7-4087-9fff-627dbf92f9f4,EC10,2,Laurence McCoy,central,POINT (151.2837677809622 -33.58408304728531),DSF,2,4.64689937243,11.0,40,2.5,Low,0.34,100,High,High,3.5,Moderate,1.6600000000000001,100,High,High,2,Slab,Low,0,5.2,26.0,,53.012088775634766,8.507341384887695,6.257932186126709,3.2289786338806152,17.689646,17.689646,1.8001388,3.030236,1.3555353,9.6,0.36465478,6.020303
27,9f8027da-efe2-4dbd-a281-9685e01b3fc6,EC10,3,Laurence McCoy,central,POINT (151.2835836018388 -33.58432374463761),DSF,2,4.67519625109,11.0,10,1.25,Low,0.4,100,High,High,3.5,Moderate,1.75,100,High,High,2,Slab,Moderate,0,5.0,16.0,yes,36.591705322265625,15.579015731811523,3.8234076499938965,3.203047513961792,17.148125,17.148125,1.2304901,2.0713267,1.3555353,9.6,0.36465478,6.020303
34,f4731772-5879-4fa8-b69f-9f0fe8e53adc,EC11,2,Derek Meaghan,central,POINT (151.04137027987727 -34.16932777469176),DSF,,4.66819352306,24.0,80,5.0,Moderate,0.18,50,Moderate,Moderate,2.5,Moderate,0.51,50,Moderate,Moderate,0,Slab,Low,0,11.0,60.0,yes,82.19612884521484,3.8691983222961426,9.999366760253906,4.33381462097168,14.651359,16.660486,6.41348,3.0695417,1.4140816,3.5,3.0128183,8.95273
39,399e8689-019a-4776-a6b7-8186c7cdc404,EC11,3,Meaghan Derek,central,POINT (151.04147463539425 -34.16886038855004),DSF,,4.65807118709,9.0,50,2.5,Low,0.22999999999999998,50,Moderate,Moderate,2.5,Low,0.6199999999999999,80,Moderate,Moderate,0,Slab,Low,0,9.8,26.0,yes,73.3564224243164,7.731657028198242,5.68436861038208,2.840926170349121,14.50838,16.497902,5.3404994,2.5560048,1.4140816,3.5,3.0128183,8.95273
33,65096dd3-a842-4875-abf6-755ee5c25a0b,EC11,,Derek Meaghan,central,POINT (151.04107377173767 -34.169555466371065),DSF,,4.6669248963,31.0,100,15.0,Very High,0.21000000000000002,70,High,High,3.5,Extreme,0.3,40,Moderate,Moderate,0,Slab,Low,0,12.4,54.0,yes,75.61556243896484,5.9864501953125,8.028475761413574,3.168698310852051,14.3413515,16.307968,5.523356,2.6435213,2.280757,3.5,4.823074,15.909413
40,9d262ba1-fefc-4de0-8ff1-d9eb964a9c2b,EC12,1,Meaghan Derek,central,POINT (151.04154158311127 -34.17005857124323),DSF,,4.67997498271,35.0,70,3.75,Low,0.37,100,Very High,Very High,4.0,High,0.53,70,Very High,Very High,6,Coarsely,Moderate,0,8.8,34.0,yes,77.97100067138672,4.010981559753418,8.283849716186523,3.8566410541534424,14.634051,16.640806,5.757076,2.7553816,1.4140816,3.5,3.0128183,8.95273
43,a28a8808-a6b2-46db-9400-2ab494fed763,EC12,1,Derek Meaghan,central,POINT (151.04121305912614 -34.17022311592506),DSF,,4.65405592663,23.0,80,5.0,Moderate,0.28,80,Very High,Very High,4.0,Very High,1.25,70,High,High,2,Coarsely,Moderate,0,7.4,58.0,yes,80.25022888183594,4.568323135375977,6.762063503265381,2.8993124961853027,14.634051,16.640806,5.5063467,2.6353805,1.4140816,3.5,3.0128183,8.95273
45,bdce461a-75ee-44c3-ac5b-92b06e2b03cf,EC12,3,Derek Meagan,central,POINT (151.04160080092086 -34.170293097779535),DSF,,4.6600956138,23.0,80,5.0,Moderate,0.26999999999999996,80,High,High,3.5,High,0.30999999999999994,20,High,High,2,Coarsely,Moderate,0,11.2,36.0,yes,85.07042694091797,4.450106620788574,10.36920166015625,4.804426193237305,2.024316,2.9352505,1.7741768,0.0,1.4140816,3.5,3.0128183,8.95273
0,d1a280cb-06c0-43ac-a81f-ef7a9f273c9e,EC13,1,"Derek, Meaghan",central,POINT (150.99192625043676 -34.125437096705305),DSF,,4.66337200925,52.0,100,25.0,Extreme,0.15,50,High,High,3.5,Extreme,0.43000000000000005,30,High,High,2,Coarsely,Moderate,0,9.8,62.0,yes,57.428733825683594,3.011011838912964,9.554693222045898,6.15993595123291,14.506964,16.52059,6.125993,2.8971925,2.280757,3.5,4.823074,15.909413
2,d191484d-8f6a-420c-bd1b-69b4597b2ac5,EC13,2,Derek Meaghan,central,POINT (150.99142353134778 -34.12567308613325),DSF,,4.60097360225,35.0,100,15.0,Very High,0.14,90,Moderate,Moderate,2.5,Very High,0.39,30,Moderate,Moderate,0,Coarsely,Low,0,9.6,52.0,yes,59.81238555908203,3.474480390548706,9.48518180847168,7.107333183288574,14.485043,16.495626,5.9955134,2.8354843,2.280757,3.5,4.823074,15.909413
5,6f5fd9b6-73ba-414b-8536-1ad2228c33f1,EC13,3,Derek Meaghan,central,POINT (150.99172852133202 -34.12588201197959),DSF,,4.67231592247,38.0,100,15.0,Very High,0.10999999999999999,50,High,High,3.5,Extreme,0.06,10,High,High,2,Coarsely,Low,0,8.8,48.0,yes,68.32463836669922,3.8946070671081543,12.100061416625977,8.46142578125,14.606528,16.633974,6.1864705,2.9257944,2.280757,3.5,4.823074,15.909413
12,cdeafdf6-2375-4c0a-b99d-c29fadc4b6e1,EC14,1,Derek Meaghan,central,POINT (150.9670260814413 -34.1511013687762),DSF,unkown,4.65650914976,37.0,100,15.0,Very High,0.30999999999999994,90,Very High,Very High,4.0,Extreme,0.96,80,Very High,Very High,6,Coarsely,Moderate,0,9.2,60.0,yes,55.315975189208984,4.297854423522949,5.022097587585449,2.891765594482422,14.485043,16.495626,5.710671,2.7007723,2.280757,3.5,4.823074,15.909413
