,id,site,plot,observer,veg_type,fire_hist,loc_accuracy,litter_d_m,litter_cov,litter_load,s_fhr,ns_h_m,ns_cov,s&ns_fhr,elev_h_m,elev_cov,elev_load,bark_type,bark_load,canopy_h_m,canopy_cov_m,representative,comments,geometry,afo_cc,afo_lfd,afo_ch,afo_cbh,afo_litter,afo_surface,afo_elevated,afo_bark,rfs_bark,rfs_canopy,rfs_elevated,rfs_surface
8,5ad349fb-92af-41c4-b31e-2065470fa68c,EC30,1,David and Jon,DSF,3,101.829186313,4.0,90,5.0,Moderate,0.12,100,High,0.58,50,6,Stringy,0,6.25,10.0,yes,,POINT (150.3702625879485 -33.65091888186686),53.731163024902344,13.559137344360352,1.777587652206421,0.9734984636306763,5.2849154,6.200949,2.4491603,1.5246743,1.3027196,3.5,2.0846558,5.9369764
10,978c8ead-b872-4622-ba68-442cb781b107,EC30,3,DJ,Heath,3,4.69533112168,0.0,0,1.25,Low,0.13,90,Low,0.27999999999999997,30,10,,0,0.0,0.0,yes,,POINT (150.36965929911594 -33.65100655537691),31.209861755371094,15.043867111206055,0.6079928874969482,0.5008423924446106,5.1599665,6.054343,1.9108036,1.1895314,0.0,0.0,2.421469,2.424473
9,3c549bc8-6be6-46eb-a9a8-d812fbdd913c,EC30,,David and Jon,DSF,3,4.76453302875,7.0,100,5.0,Moderate,0.15999999999999998,80,High,0.7,90,6,Stringy,0,3.75,5.0,yes,,POINT (150.37050316109432 -33.65092794131171),56.81047439575195,19.615562438964844,1.4170295000076294,1.1031858921051025,5.3475823,6.2744784,2.536129,1.5788149,1.3027196,3.5,2.0846558,5.9369764
11,8157a286-29aa-45ea-9da7-15f7cc889854,EC31,1,Dave and Jon,DSF,6,4.67402386882,21.0,100,10.0,High,0.17,90,Very High,0.77,90,10,Stringy,5,2.5,5.0,yes,,POINT (150.3706044032921 -33.666213834895764),46.72108840942383,8.510427474975586,14.43199348449707,3.9585916996002197,5.392866,6.327575,2.942374,1.83335,1.6570938,3.5,3.3549063,10.117001
12,27d9c632-a891-4b61-9c13-4d6c54881e26,EC31,2,Dave,DSF,6,4.70398542592,37.0,100,15.0,Very High,0.20000000000000004,80,Extreme,0.44000000000000006,50,10,Stringy,5,6.75,20.0,yes,,POINT (150.3707901219071 -33.66659669039935),62.51921081542969,5.667808532714844,21.276634216308594,8.09480094909668,5.4414525,6.3845825,3.3314776,2.0757945,1.6570938,3.5,3.3549063,10.117001
13,e16e5cf6-969f-456c-9fea-de01f46bba45,EC31,3,Dave,DSF,3,4.64790800943,16.0,100,5.0,Moderate,0.20000000000000004,90,High,0.1,20,0,Stringy,2,2.25,7.5,,,POINT (150.37197889490278 -33.666683962775075),58.43836975097656,5.406911849975586,14.291038513183594,5.799372673034668,5.4011106,6.337249,3.1326761,1.9519242,1.3027196,3.5,2.0846558,5.9369764
14,2d96880f-7e34-4e96-aaa6-87a71bde9977,EC32,1,David F,DSF,8+,12.4586651862,36.0,90,15.0,Very High,0.43000000000000005,90,Extreme,1.4400000000000002,100,10,Stringy,5,2.0,7.5,yes,,POINT (150.3467601468851 -33.700320458446946),67.53311157226562,7.864597797393799,16.741819381713867,3.479783535003662,14.745332,16.805912,7.320443,3.6879852,2.4202204,3.5,4.8060427,15.818504
16,33576753-fa48-4bff-a480-b48a9b8de485,EC32,3,David and Jon,Heath,8+,5.32387096767,17.0,90,5.0,Moderate,0.5,90,Extreme,1.8199999999999998,100,10,Stringy,0,1.5,0.0,yes,,POINT (150.3438202408198 -33.701009268043265),67.09825897216797,4.304018020629883,9.527923583984375,2.7934770584106445,10.079771,10.660125,6.548813,1.0062745,0.0,0.0,5.948955,5.8372
17,7bf246bb-abf8-488c-b12d-9574a8a84571,EC33,1,Dave and Jon,Heath,8+,4.67608189788,10.0,90,5.0,Moderate,0.45,70,Extreme,1.09,90,10,Stringy,0,0.0,0.0,no,Heath area surrounded by DSF,POINT (150.44504364429332 -33.70459729672316),55.96802520751953,14.818193435668945,5.753606796264648,2.587954044342041,14.749335,16.808718,4.9393363,2.4902244,0.0,0.0,5.948955,5.8372
15,76d012e9-c470-4651-be9b-b6a45546e914,EC33,2,David and Jon,DSF,8+,4.70108746083,31.0,100,15.0,Very High,0.25,80,Extreme,0.9400000000000001,70,10,Stringy,5,2.25,7.5,yes,,POINT (150.34886155856157 -33.69905699925347),52.62507629394531,9.680551528930664,14.014324188232422,3.5566341876983643,14.865906,16.943504,7.0019617,3.52729,2.4202204,3.5,4.8060427,15.818504
