,plot
16,1
25,2
27,3
34,2
39,3
33,
40,1
43,1
45,3
0,1
2,2
5,3
12,1
141,1
15,2
142,2
18,3
29,1
30,2
151,1
153,3
152,
154,1
155,2
156,3
157,1
159,3
160,1
158,2
161,2
31,1
32,2
144,3
134,1
140,2
137,1
138,2
139,1
135,1
136,2
8,1
133,2
3,1
148,1
149,2
150,3
35,1
41,2
42,1
44,2
1,1
4,2
6,
46,1
49,1
52,1
54,1
57,1
47,2
50,2
53,2
55,2
58,2
48,3
51,3
56,3
59,3
36,1
37,2
38,3
91,1
92,2
93,3
124,1
125,2
126,3
127,1
128,2
129,3
130,1
131,2
132,3
143,1
97,1
98,2
99,3
94,1
95,2
96,3
121,1
122,2
123,3
7,1
9,2
10,3
11,1
13,2
14,3
81,1
82,2
83,3
112,1
113,2
114,3
115,1
116,2
117,3
21,1
22,2
23,3
24,1
26,2
28,3
103,1
104,2
105,3
100,1
101,2
102,3
89,2
90,3
88,
78,1
79,2
80,3
61,1
63,2
65,3
68,1
75,2
77,3
60,1
69,1
62,2
72,2
64,3
73,3
67,1
66,2
70,3
74,1
76,2
71,3
17,1
19,2
20,3
106,1
107,2
108,3
109,1
110,2
111,3
118,1
119,2
120,3
84,1
86,2
87,3
85,1
